id,Name
0,Name shadowsocks-windows
1,Name CodeHub
2,Name corefx
3,Name PowerShell
4,Name Wox
5,Name roslyn
6,Name coreclr
7,Name Dapper
8,Name WaveFunctionCollapse
9,Name ShareX
